PlayerID,PlayerName,Nationality,GamesUsed,FramesUsed,FramesWon,FrameRate,BaselineStart,RetroStart,RetroAdjustment
125,Michael Holt,England,18,206,104,0.504854368932039,2600,2628.20216001758,28.2021600175845
423,Matthew Day,England,39,201,99,0.492537313432836,2600,2628.03102228701,28.0310222870135
93,Jimmy Robertson,England,21,215,108,0.502325581395349,2600,2627.98344251577,27.9834425157678
169,Joel Walker,England,37,205,105,0.51219512195122,2600,2627.8659922203,27.8659922202983
2204,Chae Ross,England,38,200,99,0.495,2600,2627.84111536796,27.8411153679585
1505,Jason Weston,England,15,207,107,0.516908212560387,2600,2627.50399218397,27.5039921839689
295,Li Hang,China,22,205,98,0.478048780487805,2600,2627.4398700366,27.4398700366005
983,Brandon Sargeant,England,35,207,101,0.48792270531401,2600,2627.01814616239,27.0181461623865
358,Tomasz Skalski,Belgium,37,204,96,0.470588235294118,2600,2626.93938609917,26.9393860991686
1090,Chau Hon Man,Hong Kong,40,201,96,0.477611940298507,2600,2626.86409908983,26.8640990898334
2378,Ryan Davies,England,42,206,98,0.475728155339806,2600,2626.8466524221,26.8466524221035
2963,Joel Connolly,Northern Ireland,45,200,97,0.485,2600,2626.84525854827,26.8452585482733
539,Liam Monk,England,38,202,100,0.495049504950495,2600,2626.78802199827,26.7880219982667
86,Adam Wicheard,England,31,204,95,0.465686274509804,2600,2626.41992556351,26.4199255635049
3269,Mark Johnston-Allen,England,23,212,108,0.509433962264151,2600,2626.37766049984,26.3776604998388
552,Sean O'Sullivan,England,38,205,101,0.492682926829268,2600,2626.36652735218,26.3665273521815
2746,Connor Benzey,England,41,200,96,0.48,2600,2625.87963853195,25.8796385319547
1590,Josh Mulholland,England,41,205,102,0.497560975609756,2600,2625.84773415605,25.8477341560465
65,Andrew Pagett,Wales,32,201,97,0.482587064676617,2600,2625.72539224478,25.7253922447799
1653,Darryn Walker,England,14,214,111,0.518691588785047,2600,2625.5799218063,25.5799218062975
633,Andreas Ploner,Austria,38,200,91,0.455,2600,2625.24145002609,25.2414500260866
2876,John Spencer,England,17,200,106,0.53,2600,2625.15096607223,25.150966072229
815,Jurian Heusdens,Belgium,39,202,101,0.5,2600,2624.75726380815,24.7572638081506
1045,Louis Heathcote,England,36,204,97,0.475490196078431,2600,2624.71055850468,24.7105585046802
3187,Christian Richter,Germany,45,203,103,0.507389162561576,2600,2624.69549377449,24.6954937744945
2392,Callum Beresford,England,44,206,98,0.475728155339806,2600,2624.35207501542,24.3520750154157
920,Ben Jones,Wales,39,201,100,0.497512437810945,2600,2624.33822900179,24.3382290017871
115,Anthony Hamilton,England,18,203,102,0.502463054187192,2600,2624.04111595839,24.0411159583914
159,Callum Downing,England,37,203,99,0.487684729064039,2600,2623.71768603797,23.7176860379732
1038,Joe O'Connor,England,33,200,96,0.48,2600,2623.68407473244,23.68407473244
1355,Tony Jones,England,25,203,93,0.458128078817734,2600,2623.55294160711,23.5529416071104
1165,Munraj Pal,England,16,207,107,0.516908212560387,2600,2623.38527584399,23.385275843988
144,Alex Davies,England,33,202,100,0.495049504950495,2600,2623.2517828139,23.2517828139039
37,Peter Lines,England,17,216,108,0.5,2600,2623.24680930579,23.2468093057933
140,Sam Harvey,England,41,205,100,0.487804878048781,2600,2622.60823437527,22.6082343752651
470,Cliff Thorburn,Canada,13,204,107,0.524509803921569,2600,2622.20423494807,22.2042349480698
514,Cao Xinlong,China,31,212,84,0.39622641509434,2600,2622.17806833533,22.178068335329
223,Darren Morgan,Wales,21,203,91,0.448275862068966,2600,2622.12338157215,22.1233815721539
521,Vinnie Calabrese,Australia,33,203,89,0.438423645320197,2600,2622.11381607131,22.1138160713117
605,Steven Hallworth,England,34,202,92,0.455445544554456,2600,2621.39694678604,21.3969467860402
165,Jamie Curtis-Barrett,England,36,206,101,0.490291262135922,2600,2621.27533839882,21.2753383988234
500,Paul Wykes,England,17,210,97,0.461904761904762,2600,2621.20785038523,21.2078503852308
186,Antony Parsons,England,33,201,95,0.472636815920398,2600,2620.87628407411,20.8762840741115
741,Ryan Thomerson,Australia,34,202,93,0.46039603960396,2600,2620.43478332207,20.4347833220672
3260,Chris Scanlon,England,18,214,103,0.481308411214953,2600,2620.36253880621,20.3625388062064
1190,Surinder Gill,England,13,202,102,0.504950495049505,2600,2620.23554397218,20.2355439721759
54,Mike Dunn,England,15,202,98,0.485148514851485,2600,2619.6673945167,19.6673945166986
2340,Sean Maddocks,England,46,203,96,0.472906403940887,2600,2619.56740702358,19.5674070235791
1363,Philip Williams,Wales,21,202,102,0.504950495049505,2600,2619.14368979829,19.1436897982881
1263,Ratchayothin Yotharuck,Thailand,30,202,77,0.381188118811881,2600,2618.93327832097,18.9332783209738
2341,Himanshu Jain,India,37,202,86,0.425742574257426,2600,2618.83735483603,18.83735483603
505,Scott Mackenzie,Scotland,20,204,100,0.490196078431373,2600,2618.63822203859,18.6382220385926
593,Hammad Miah,England,33,202,87,0.430693069306931,2600,2618.40181075177,18.4018107517736
