Date,RSSSFHome,RSSSFAway,RSSSFScore,HomeCanon,AwayCanon,MatchKey
2025-10-05,Kryvbas,Kudrivka,3-1,kryvbas_kryvyi_rih,kudrivka,kryvbas_kryvyi_rih|||kudrivka|||3-1
2025-10-17,Poltava,Obolon,1-2,sc_poltava,obolon_kyiv,sc_poltava|||obolon_kyiv|||1-2
2025-10-18,Polissja,Sachtar,0-0,polissya_zhytomyr,shakhtar_donetsk,polissya_zhytomyr|||shakhtar_donetsk|||0-0
2025-10-18,Zorja,Dynamo,1-1,zorya_luhansk,dynamo_kyiv,zorya_luhansk|||dynamo_kyiv|||1-1
2025-10-19,LNZ,Kolos,1-0,lnz_cherkasy,kolos_kovalivka,lnz_cherkasy|||kolos_kovalivka|||1-0
2025-10-19,Karpaty,Epicenter,1-3,karpaty_lviv,epicenter,karpaty_lviv|||epicenter|||1-3
2025-10-19,Veres,Olexandrija,1-1,veres_rivne,oleksandriya,veres_rivne|||oleksandriya|||1-1
2025-10-20,Kudrivka,Metalist'25,1-1,kudrivka,metalist_1925,kudrivka|||metalist_1925|||1-1
2025-10-24,Veres,Zorja,0-0,veres_rivne,zorya_luhansk,veres_rivne|||zorya_luhansk|||0-0
2025-10-24,Olexandrija,Epicenter,0-1,oleksandriya,epicenter,oleksandriya|||epicenter|||0-1
2025-10-25,Metalist'25,LNZ,0-1,metalist_1925,lnz_cherkasy,metalist_1925|||lnz_cherkasy|||0-1
